Episode,Epsilon,Total Reward,Loss,Steps,Collisions,Exit Reason
272,0.25578670228422234,-638.0,7804.521483306195,63,5,Collision tolerance exceeded
273,0.25450776877280124,-660.0,9295.467890348262,66,5,Collision tolerance exceeded
274,0.2532352299289372,-666.0,8106.013988695642,65,5,Collision tolerance exceeded
275,0.2519690537792925,-344.0,7623.766203185003,63,5,Collision tolerance exceeded
276,0.2507092085103961,-170.0,11253.5257635832,91,5,Collision tolerance exceeded
277,0.2494556624678441,-784.0,19265.53283971814,150,0,Max steps reached
278,0.24820838415550486,-36.0,10149.056151393803,79,5,Collision tolerance exceeded
279,0.24696734223472733,-1722.0,10413.22812312319,83,5,Collision tolerance exceeded
280,0.2457325055235537,-46.0,8420.307408105222,69,5,Collision tolerance exceeded
281,0.24450384299593592,-196.0,7845.449779709563,66,5,Collision tolerance exceeded
282,0.24328132378095624,-1834.0,15039.650630079968,123,5,Collision tolerance exceeded
283,0.24206491716205145,-564.0,6529.170518809856,54,5,Collision tolerance exceeded
284,0.2408545925762412,-672.0,11930.680024038518,100,5,Collision tolerance exceeded
285,0.23965031961336,34.0,10269.237226215759,81,5,Collision tolerance exceeded
286,0.2384520680152932,-1000.0,17964.262203903403,150,1,Max steps reached
287,0.23725980767521673,-80.0,8150.4976772273885,74,5,Collision tolerance exceeded
288,0.23607350863684065,-2544.0,16188.830857572122,150,4,Max steps reached
289,0.23489314109365644,-162.0,9962.022539128677,85,5,Collision tolerance exceeded
290,0.23371867538818816,-676.0,6397.9986792843265,60,5,Collision tolerance exceeded
291,0.23255008201124722,-188.0,7659.063170047291,66,5,Collision tolerance exceeded
292,0.231387331601191,-238.0,11533.33626213267,101,5,Collision tolerance exceeded
293,0.23023039494318503,-180.0,11797.559083158852,110,5,Collision tolerance exceeded
294,0.2290792429684691,-1292.0,10807.636186464062,100,5,Collision tolerance exceeded
295,0.22793384675362674,-716.0,16421.674621296923,150,0,Max steps reached
296,0.22679417751985861,-852.0,10706.398180102093,108,5,Collision tolerance exceeded
297,0.22566020663225933,-768.0,13229.749497974575,126,5,Collision tolerance exceeded
298,0.22453190559909803,-2784.0,12184.804020426614,110,5,Collision tolerance exceeded
299,0.22340924607110255,-488.0,9415.89640714305,102,5,Collision tolerance exceeded
300,0.22229219984074702,-404.0,8390.534891391999,86,5,Collision tolerance exceeded
301,0.2211807388415433,-614.0,13197.8333737801,134,1,Goal reached
302,0.22007483514733558,-298.0,12206.94070165269,131,5,Collision tolerance exceeded
303,0.2189744609715989,224.0,15437.830835320998,150,1,Max steps reached
304,0.2178795886667409,-272.0,12801.185963600063,124,5,Collision tolerance exceeded
305,0.2167901907234072,118.0,7840.58352842772,73,5,Collision tolerance exceeded
306,0.21570623976979014,92.0,12297.606472153147,120,1,Goal reached
307,0.21462770857094118,-262.0,10667.390163787222,105,5,Collision tolerance exceeded
308,0.21355457002808648,282.0,4953.8180651455805,51,1,Goal reached
309,0.21248679717794605,-292.0,15441.214263662867,150,0,Max steps reached
310,0.21142436319205632,-388.0,14507.569662868835,150,0,Max steps reached
311,0.21036724137609603,4.0,12907.319852478362,150,0,Max steps reached
312,0.20931540516921554,-94.0,9968.839883046217,107,5,Collision tolerance exceeded
313,0.20826882814336947,-888.0,7355.282445719644,79,5,Collision tolerance exceeded
314,0.20722748400265262,-704.0,13623.447375932166,150,1,Max steps reached
315,0.20619134658263935,-262.0,3467.420372656659,45,1,Goal reached
316,0.20516038984972615,-212.0,10545.402477285605,120,5,Collision tolerance exceeded
317,0.2041345879004775,-1310.0,7017.054825207337,81,5,Collision tolerance exceeded
318,0.2031139149609751,426.0,4651.11512924082,63,1,Goal reached
319,0.20209834538617025,-118.0,7195.51160793005,95,1,Goal reached
320,0.2010878536592394,290.0,5683.925937865021,79,1,Goal reached
321,0.2000824143909432,-520.0,10147.091776792784,140,5,Collision tolerance exceeded
322,0.19908200231898848,196.0,11189.933249455078,150,0,Max steps reached
323,0.19808659230739353,-160.0,4876.023269166336,70,5,Collision tolerance exceeded
324,0.19709615934585656,-828.0,5908.237897812498,70,5,Collision tolerance exceeded
325,0.19611067854912728,-2374.0,12605.717676488612,146,5,Collision tolerance exceeded
326,0.19513012515638165,-214.0,5355.452358896473,65,5,Collision tolerance exceeded
327,0.19415447453059972,-1624.0,6940.79728390345,88,5,Collision tolerance exceeded
328,0.19318370215794672,-628.0,8379.17455463691,96,5,Collision tolerance exceeded
329,0.192217783647157,-38.0,5761.861883850777,69,5,Collision tolerance exceeded
330,0.1912566947289212,-18.0,4755.2048711320485,53,5,Collision tolerance exceeded
331,0.1903004112552766,-798.0,11736.080222840317,135,5,Collision tolerance exceeded
332,0.18934890919900021,-108.0,6975.89828783921,92,5,Collision tolerance exceeded
333,0.18840216465300522,-466.0,6714.667661172589,86,5,Collision tolerance exceeded
334,0.18746015382974018,-168.0,9822.064705197434,120,5,Collision tolerance exceeded
335,0.1865228530605915,-1154.0,11876.566817604422,141,5,Collision tolerance exceeded
336,0.18559023879528855,-1820.0,11125.02793240618,138,5,Collision tolerance exceeded
